OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valB,valL,valR
168023,63735945789952,-0.03178614,1.667203,0.4174494,0.08599152,-0.8557592,0.03597238,0.5089083,-0.02749394,0.004412278,-0.03080727,0.04360962,-0.3861389,0.921402,0.0352187,-0.001249283,-0.03237459,0.0352187,-0.001249283,-0.03237459,0.1637268,-0.4108582,0.8968658,0.1637268,-0.4108582,0.8968658,True,True,True
168039,63735945789973,-0.03204095,1.667097,0.4176028,0.08634913,-0.8554147,0.03650493,0.5093888,-0.02730275,0.004392441,-0.0308609,0.04006958,-0.3837128,0.9225769,0.03522023,-0.001247955,-0.03242278,0.03522023,-0.001247955,-0.03242278,0.158905,-0.412735,0.8968658,0.158905,-0.412735,0.8968658,True,True,True
168056,63735945789988,-43.86321,2.149285,1.290769,0.08755273,-0.8551242,0.03774046,0.5095811,-0.02189952,0.003883286,-0.03100199,0.0499115,-0.3849792,0.9215698,0.03522017,-0.001228729,-0.03254921,0.03522017,-0.001228729,-0.03254921,0.1610413,-0.4154663,0.8952332,0.1610413,-0.4154663,0.8952332,True,True,True
168073,63735945790008,-87.69448,2.631639,2.163902,0.08848518,-0.8548433,0.03837833,0.5098435,-0.01920343,0.003681076,-0.03122211,0.05065918,-0.3875885,0.9204254,0.03523033,-0.001196259,-0.03269305,0.03523033,-0.001196259,-0.03269305,0.1578369,-0.4150238,0.8959961,0.1578369,-0.4150238,0.8959961,True,True,True
168081,63735945790008,-87.69448,2.631639,2.163902,0.08848518,-0.8548433,0.03837833,0.5098435,-0.01713916,0.003532822,-0.03140381,0.05645752,-0.3899994,0.9190674,0.03523554,-0.001177231,-0.03274091,0.03523554,-0.001177231,-0.03274091,0.1587219,-0.4186249,0.894165,0.1587219,-0.4186249,0.894165,True,True,True
168098,63735945790036,-103.5779,2.806102,2.480485,0.08966253,-0.8545511,0.03984528,0.5100151,0.01136369,0.0009025726,-0.0326082,0.1010284,-0.4318542,0.8962555,0.03519652,-0.001177307,-0.03342175,0.03519652,-0.001177307,-0.03342175,0.1537933,-0.4353638,0.8870087,0.1537933,-0.4353638,0.8870087,True,True,True
168114,63735945790047,-103.578,2.805944,2.480537,0.09012178,-0.8543182,0.04051519,0.5102716,0.02766786,-0.0009159851,-0.03304106,0.1228027,-0.514389,0.8487091,0.0351709,-0.001589432,-0.03326489,0.0351709,-0.001589432,-0.03326489,0.1419373,-0.5169678,0.8441467,0.1419373,-0.5169678,0.8441467,True,True,True
168123,63735945790070,-103.5782,2.805678,2.480643,0.09032594,-0.8539432,0.04132566,0.5107979,0.02780237,-0.001007004,-0.03289356,0.1242065,-0.5196228,0.8453064,0.03516431,-0.001666336,-0.03311168,0.03516431,-0.001666336,-0.03311168,0.1405029,-0.5228577,0.840744,0.1405029,-0.5228577,0.840744,True,True,True
168139,63735945790081,-103.5784,2.805602,2.480671,0.09058321,-0.853689,0.04155003,0.511159,0.01326418,0.0003233948,-0.03251106,0.09158325,-0.5097504,0.855423,0.03528922,-0.001776428,-0.03270383,0.03528922,-0.001776428,-0.03270383,0.1450195,-0.5227356,0.8400574,0.1450195,-0.5227356,0.8400574,True,True,True
168164,63735945790104,-103.5786,2.805536,2.480739,0.09101116,-0.8533159,0.04168376,0.5116947,-0.018314,0.003209229,-0.03155176,0.01879883,-0.4930878,0.8697662,0.03532082,-0.001733139,-0.03289037,0.03532082,-0.001733139,-0.03289037,0.1363525,-0.5182037,0.8442993,0.1363525,-0.5182037,0.8442993,True,True,True
