OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valB,valL,valR
341864,63735864831281,0.2733439,1.924145,0.4035523,0.08576819,0.9809669,-0.1702484,0.03692244,0.01501819,0.0007466889,-0.02803323,0.03276062,0.3133087,0.9490814,0.03565828,0.0005562744,-0.02991774,0.03565828,0.0005562744,-0.02991774,0.02346802,0.3059998,0.9517365,0.02346802,0.3059998,0.9517365,True,True,True
341889,63735864831281,0.2733439,1.924145,0.4035523,0.08576819,0.9809669,-0.1702484,0.03692244,0.02224269,0.0006675873,-0.02868544,0.05078125,0.3066864,0.9504395,0.03554578,0.000556366,-0.02990712,0.03554578,0.000556366,-0.02990712,0.05174255,0.3022919,0.9517975,0.05174255,0.3022919,0.9517975,True,True,True
341898,63735864831315,83.5526,7.318831,-27.02062,0.0829787,0.9811496,-0.1674364,0.04924395,0.0206853,0.0006290894,-0.02843407,0.05563354,0.2999725,0.9523163,0.03546035,0.000482071,-0.02968109,0.03546035,0.000482071,-0.02968109,0.0526123,0.2962952,0.9536285,0.0526123,0.2962952,0.9536285,True,True,True
341914,63735864831315,83.5526,7.318831,-27.02062,0.0829787,0.9811496,-0.1674364,0.04924395,0.01380608,0.0007433777,-0.02803711,0.07806396,0.2900238,0.9538269,0.035252,0.0005524597,-0.02990941,0.035252,0.0005524597,-0.02990941,0.07749939,0.2840576,0.955658,0.07749939,0.2840576,0.955658,True,True,True
341931,63735864831347,102.252,8.53124,-33.17474,0.07246011,0.9806476,-0.1622048,0.08227722,0.008365234,0.0008430023,-0.02778984,0.08647156,0.2791138,0.9563446,0.03506273,0.0006100006,-0.0301353,0.03506273,0.0006100006,-0.0301353,0.08306885,0.2697754,0.9593201,0.08306885,0.2697754,0.9593201,True,True,True
341939,63735864831347,102.252,8.53124,-33.17474,0.07246011,0.9806476,-0.1622048,0.08227722,0.008385438,0.0009058075,-0.02803978,0.09660339,0.2706146,0.9578247,0.03495513,0.0006867218,-0.03038478,0.03495513,0.0006867218,-0.03038478,0.09292603,0.2554016,0.9623413,0.09292603,0.2554016,0.9623413,True,True,True
341964,63735864831376,102.2535,8.532304,-33.17285,0.06900176,0.9796742,-0.156581,0.1046882,0.02001584,0.0008386078,-0.02928107,0.1233215,0.2537537,0.9593658,0.03471149,0.0007140656,-0.03051753,0.03471149,0.0007140656,-0.03051753,0.124939,0.2482605,0.9605865,0.124939,0.2482605,0.9605865,True,True,True
341981,63735864831376,102.2535,8.532304,-33.17285,0.06900176,0.9796742,-0.156581,0.1046882,0.01507762,0.0008841095,-0.02902313,0.141098,0.2465668,0.958786,0.03453113,0.0007420197,-0.03069508,0.03453113,0.0007420197,-0.03069508,0.1405029,0.2362366,0.9614716,0.1405029,0.2362366,0.9614716,True,True,True
341998,63735864831410,102.254,8.533142,-33.17157,0.06633835,0.9787077,-0.1532753,0.1193201,0.01006567,0.0008111878,-0.02841283,0.1598053,0.2453613,0.9561615,0.03439289,0.0006525574,-0.03053336,0.03439289,0.0006525574,-0.03053336,0.1589508,0.2314148,0.9597778,0.1589508,0.2314148,0.9597778,True,True,True
342006,63735864831432,102.2538,8.534213,-33.16965,0.06288052,0.9769225,-0.1496096,0.1388727,0.009206864,0.001008911,-0.0289305,0.1721497,0.2356873,0.9564514,0.03431974,0.0007738342,-0.03092009,0.03431974,0.0007738342,-0.03092009,0.1713409,0.2278442,0.9584961,0.1713409,0.2278442,0.9584961,True,True,True
