OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
694047,63735953178834,None,None,None
694056,63735953178846,None,None,None
694056,63735953178856,None,None,None
694081,63735953178867,Boden B2,None,Boden B2
694106,63735953178880,Boden B2,Boden B2,Boden B2
694106,63735953178888,Boden B2,Boden B2,Boden B2
694114,63735953178899,Boden B2,Boden B2,Boden B2
694139,63735953178912,Boden B2,Boden B2,Boden B2
694139,63735953178921,Boden B2,Boden B2,Boden B2
694147,63735953178933,Boden B2,Boden B2,Boden B2
694172,63735953178944,Boden B2,Boden B2,Boden B2
694181,63735953178955,Boden B2,Boden B2,Boden B2
694181,63735953178967,Boden B2,Boden B2,Boden B2
694197,63735953178977,Boden B2,Boden B2,Boden B2
694214,63735953178989,Boden B2,Boden B2,Boden B2
694214,63735953178999,Boden B2,Boden B2,Boden B2
694222,63735953179010,Boden B2,Boden B2,Boden B2
694239,63735953179021,Boden B2,Boden B2,Boden B2
694239,63735953179033,Boden B2,Boden B2,Boden B2
694256,63735953179043,Boden B2,Boden B2,Boden B2
694256,63735953179054,Boden B2,Boden B2,Boden B2
694256,63735953179065,Boden B2,Boden B2,Boden B2
694281,63735953179076,Boden B2,Boden B2,Boden B2
694314,63735953179088,Boden B2,Boden B2,Boden B2
694322,63735953179099,Boden B2,Boden B2,Boden B2
694322,63735953179110,Boden B2,Boden B2,Boden B2
694339,63735953179121,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694347,63735953179132,LM_Fahrkarten-Automat,None,LM_Fahrkarten-Automat
694347,63735953179143,LM_Fahrkarten-Automat,None,LM_Fahrkarten-Automat
694364,63735953179154,LM_Fahrkarten-Automat,None,LM_Fahrkarten-Automat
694381,63735953179166,LM_Fahrkarten-Automat,None,LM_Fahrkarten-Automat
694389,63735953179177,LM_Fahrkarten-Automat,None,LM_Fahrkarten-Automat
694389,63735953179188,LM_Fahrkarten-Automat,None,LM_Fahrkarten-Automat
694422,63735953179199,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694439,63735953179210,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694439,63735953179221,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694447,63735953179233,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694464,63735953179244,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694464,63735953179255,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694480,63735953179267,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694489,63735953179277,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694489,63735953179288,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694505,63735953179299,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694505,63735953179310,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694539,63735953179322,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694539,63735953179333,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694564,63735953179344,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat,LM_Fahrkarten-Automat
694589,63735953179355,21_Geldautomat (2),None,21_Geldautomat (2)
694589,63735953179365,21_Geldautomat (2),None,21_Geldautomat (2)
694589,63735953179377,21_Geldautomat (2),None,None
694605,63735953179388,None,None,None
694605,63735953179399,None,None,None
694614,63735953179410,None,None,None
694614,63735953179421,None,None,None
694647,63735953179432,None,None,None
694647,63735953179444,None,None,None
694672,63735953179454,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694689,63735953179466,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694689,63735953179476,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694705,63735953179488,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694722,63735953179499,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694722,63735953179510,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore
694739,63735953179521,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore
694755,63735953179539,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore
694772,63735953179549,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore
694772,63735953179560,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore
694772,63735953179572,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore
694789,63735953179583,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore
694814,63735953179594,LM_Mesh_B_RMVServicestore,None,None
694814,63735953179606,LM_Mesh_B_RMVServicestore,None,None
694830,63735953179617,LM_Mesh_B_RMVServicestore,None,None
694839,63735953179627,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694839,63735953179638,LM_Mesh_B_RMVServicestore,None,Boden B2
694855,63735953179650,LM_Mesh_B_RMVServicestore,None,None
694872,63735953179661,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694872,63735953179672,LM_Mesh_B_RMVServicestore,None,Boden B2
694872,63735953179683,LM_Mesh_B_RMVServicestore,None,Boden B2
694905,63735953179694,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694930,63735953179705,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694930,63735953179716,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694947,63735953179728,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694955,63735953179738,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694955,63735953179749,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694972,63735953179761,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore,LM_Mesh_B_RMVServicestore
694989,63735953179772,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694989,63735953179783,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
694989,63735953179794,LM_Mesh_B_RMVServicestore,None,LM_Mesh_B_RMVServicestore
695014,63735953179805,Boden B2,Boden B2,Boden B2
695014,63735953179816,Boden B2,Boden B2,Boden B2
695014,63735953179827,Boden B2,Boden B2,Boden B2
695047,63735953179838,Boden B2,Boden B2,Boden B2
695072,63735953179850,Boden B2,Boden B2,Boden B2
695072,63735953179860,Boden B2,Boden B2,Boden B2
