OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
2324460,63735852528258,HelleFliesen,HelleFliesen,HelleFliesen
2324469,63735852528275,5_Bank (19),5_Bank (19),5_Bank (19)
2324494,63735852528291,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324502,63735852528309,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324544,63735852528333,40_Feuerloescher,HelleFliesen,HelleFliesen
2324552,63735852528354,40_Feuerloescher,HelleFliesen,HelleFliesen
2324594,63735852528377,40_Feuerloescher,HelleFliesen,HelleFliesen
2324602,63735852528400,40_Feuerloescher,HelleFliesen,HelleFliesen
2324635,63735852528421,40_Feuerloescher,HelleFliesen,HelleFliesen
2324644,63735852528443,40_Feuerloescher,HelleFliesen,HelleFliesen
2324669,63735852528466,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324702,63735852528486,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324710,63735852528509,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324744,63735852528533,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324760,63735852528553,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324785,63735852528576,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324785,63735852528598,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324810,63735852528620,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324852,63735852528643,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324869,63735852528665,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324902,63735852528686,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324902,63735852528710,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324919,63735852528732,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324944,63735852528744,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
2324960,63735852528756,40_Feuerloescher,40_Feuerloescher,40_Feuerloescher
