OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valB,valL,valR
1044984,63736039834578,0.2684962,1.763728,0.4381568,0.01283277,0.5020119,-0.02976597,0.8642531,-0.0254079,0.00104068,-0.027028,0.04679871,-0.03164673,0.9983978,0.03308477,-0.002546173,-0.02549841,0.03308477,-0.002546173,-0.02549841,0.037323,-0.04490662,0.998291,0.037323,-0.04490662,0.998291,True,True,True
1044993,63736039834578,0.2684962,1.763728,0.4381568,0.01283277,0.5020119,-0.02976597,0.8642531,-0.02242674,0.0008522034,-0.02694148,0.04473877,-0.03089905,0.9985199,0.03310428,-0.002561691,-0.02535657,0.03310428,-0.002561691,-0.02535657,0.04356384,-0.04428101,0.9980621,0.04356384,-0.04428101,0.9980621,True,True,True
1045009,63736039834603,0.2694408,1.763154,0.4397368,0.01329942,0.5042801,-0.02917384,0.8629447,-0.01366245,0.0002730866,-0.02657565,0.04013062,-0.03639221,0.9985199,0.03312425,-0.002582672,-0.02530982,0.03312425,-0.002582672,-0.02530982,0.03910828,-0.04273987,0.9983063,0.03910828,-0.04273987,0.9983063,True,True,True
1045026,63736039834622,-37.97683,2.275134,-2.522519,0.01435614,0.5063357,-0.02864904,0.8617408,-0.01175453,0.0001361389,-0.02650429,0.03381348,-0.03338623,0.9988556,0.0331497,-0.002581345,-0.02546652,0.0331497,-0.002581345,-0.02546652,0.02644348,-0.03518677,0.9990234,0.02644348,-0.03518677,0.9990234,True,True,True
1045034,63736039834622,-37.97683,2.275134,-2.522519,0.01435614,0.5063357,-0.02864904,0.8617408,-0.00941626,-1.124573E-05,-0.02644243,0.02932739,-0.03181458,0.999054,0.03316071,-0.00258667,-0.02545931,0.03316071,-0.00258667,-0.02545931,0.02542114,-0.04118347,0.9988251,0.02542114,-0.04118347,0.9988251,True,True,True
1045059,63736039834670,-81.79585,2.861271,-5.915105,0.01730917,0.50933,-0.03072852,0.8598483,-0.002595596,-0.000442688,-0.02620355,0.02311707,-0.02677917,0.9993591,0.03318254,-0.002569977,-0.02545931,0.03318254,-0.002569977,-0.02545931,0.02073669,-0.03153992,0.9992828,0.02073669,-0.03153992,0.9992828,True,True,True
1045093,63736039834692,-81.79505,2.86074,-5.913513,0.01948343,0.5103152,-0.03385989,0.8590997,-0.005734436,-0.0002605133,-0.02614554,0.0164032,-0.02799988,0.9994659,0.0332202,-0.002504379,-0.02565053,0.0332202,-0.002504379,-0.02565053,0.0111084,-0.02589417,0.999588,0.0111084,-0.02589417,0.999588,True,True,True
1045101,63736039834692,-81.79505,2.86074,-5.913513,0.01948343,0.5103152,-0.03385989,0.8590997,-0.0076792,-0.0001391907,-0.02617267,0.01190186,-0.02851868,0.9995117,0.03322774,-0.002499481,-0.02564195,0.03322774,-0.002499481,-0.02564195,0.007019043,-0.03115845,0.9994812,0.007019043,-0.03115845,0.9994812,True,True,True
1045118,63736039834715,-81.79433,2.860279,-5.912064,0.02228708,0.5111442,-0.03764026,0.8583812,-0.003788895,-0.0003226471,-0.02617433,0.01217651,-0.02613831,0.9995728,0.03324736,-0.002456986,-0.02566663,0.03324736,-0.002456986,-0.02566663,0.01374817,-0.02314758,0.9996338,0.01374817,-0.02314758,0.9996338,True,True,True
1045126,63736039834737,-81.79369,2.859663,-5.910527,0.02568395,0.5118479,-0.04172028,0.857678,-0.005865799,-0.0001842804,-0.02624124,0.01316833,-0.02432251,0.9996033,0.03325441,-0.00244046,-0.02568948,0.03325441,-0.00244046,-0.02568948,0.009429932,-0.01992798,0.9997559,0.009429932,-0.01992798,0.9997559,True,True,True
